data,eta,prima_dose,seconda_dose,terza_dose,pregressa_infezione,mono_dose
2021-01-01,80-89,286.0,1.0,0,1,0.0
2021-01-01,90+,326.0,0.0,0,0,0.0
2021-01-02,12-19,22.0,0.0,0,0,0.0
2021-01-02,20-29,3533.0,45.0,0,45,0.0
2021-01-02,30-39,6976.0,62.0,0,62,0.0
2021-01-02,40-49,8533.0,38.0,0,38,0.0
2021-01-02,50-59,10963.0,38.0,0,38,0.0
2021-01-02,60-69,6682.0,13.0,0,13,0.0
2021-01-02,70-79,605.0,3.0,0,3,0.0
2021-01-02,80-89,804.0,9.0,0,9,0.0
2021-01-02,90+,753.0,7.0,0,7,0.0
2021-01-03,12-19,2.0,0.0,0,0,0.0
2021-01-03,20-29,3521.0,40.0,0,40,0.0
2021-01-03,30-39,6247.0,43.0,0,43,0.0
2021-01-03,40-49,7918.0,31.0,0,31,0.0
2021-01-03,50-59,10270.0,26.0,0,26,0.0
2021-01-03,60-69,6098.0,13.0,0,13,0.0
2021-01-03,70-79,540.0,2.0,0,2,0.0
2021-01-03,80-89,597.0,1.0,0,1,0.0
2021-01-03,90+,531.0,3.0,0,3,0.0
2021-01-04,12-19,12.0,0.0,0,0,0.0
2021-01-04,20-29,6014.0,72.0,0,70,2.0
2021-01-04,30-39,12261.0,70.0,0,65,5.0
2021-01-04,40-49,14760.0,53.0,0,51,2.0
2021-01-04,50-59,20192.0,56.0,0,56,0.0
2021-01-04,60-69,12117.0,28.0,0,28,0.0
2021-01-04,70-79,1146.0,8.0,0,8,0.0
2021-01-04,80-89,1479.0,23.0,0,23,0.0
2021-01-04,90+,1363.0,14.0,0,14,0.0
2021-01-05,12-19,23.0,0.0,0,0,0.0
2021-01-05,20-29,6826.0,69.0,0,69,0.0
2021-01-05,30-39,13758.0,74.0,0,74,0.0
2021-01-05,40-49,16742.0,50.0,0,48,2.0
2021-01-05,50-59,23147.0,71.0,0,71,0.0
2021-01-05,60-69,14226.0,30.0,0,30,0.0
2021-01-05,70-79,1565.0,14.0,0,14,0.0
2021-01-05,80-89,1838.0,28.0,0,28,0.0
2021-01-05,90+,1802.0,22.0,0,22,0.0
2021-01-06,12-19,39.0,1.0,0,1,0.0
2021-01-06,20-29,6557.0,63.0,0,62,1.0
2021-01-06,30-39,11231.0,83.0,0,82,1.0
2021-01-06,40-49,12809.0,53.0,0,53,0.0
2021-01-06,50-59,17806.0,61.0,0,61,0.0
2021-01-06,60-69,11867.0,25.0,0,25,0.0
2021-01-06,70-79,1671.0,11.0,0,11,0.0
2021-01-06,80-89,1481.0,25.0,0,25,0.0
2021-01-06,90+,1388.0,29.0,0,29,0.0
2021-01-07,12-19,33.0,0.0,0,0,0.0
2021-01-07,20-29,7692.0,57.0,0,56,1.0
2021-01-07,30-39,15071.0,91.0,0,90,1.0
2021-01-07,40-49,18992.0,69.0,0,69,0.0
2021-01-07,50-59,26463.0,66.0,0,66,0.0
2021-01-07,60-69,15638.0,37.0,0,37,0.0
2021-01-07,70-79,2343.0,13.0,0,13,0.0
2021-01-07,80-89,3181.0,35.0,0,35,0.0
2021-01-07,90+,2861.0,35.0,0,35,0.0
2021-01-08,12-19,47.0,0.0,0,0,0.0
2021-01-08,20-29,9137.0,60.0,0,60,0.0
2021-01-08,30-39,15595.0,101.0,0,101,0.0
2021-01-08,40-49,19801.0,89.0,0,89,0.0
2021-01-08,50-59,27207.0,79.0,0,79,0.0
2021-01-08,60-69,16261.0,38.0,0,38,0.0
2021-01-08,70-79,2688.0,18.0,0,18,0.0
2021-01-08,80-89,3114.0,33.0,0,33,0.0
2021-01-08,90+,2703.0,45.0,0,45,0.0
2021-01-09,12-19,83.0,3.0,0,3,0.0
2021-01-09,20-29,8968.0,68.0,0,68,0.0
2021-01-09,30-39,13685.0,61.0,0,61,0.0
2021-01-09,40-49,16627.0,63.0,0,63,0.0
2021-01-09,50-59,22793.0,76.0,0,76,0.0
2021-01-09,60-69,17263.0,37.0,0,37,0.0
2021-01-09,70-79,3097.0,15.0,0,15,0.0
2021-01-09,80-89,2942.0,40.0,0,40,0.0
2021-01-09,90+,2457.0,12.0,0,12,0.0
2021-01-10,12-19,146.0,0.0,0,0,0.0
2021-01-10,20-29,7513.0,54.0,0,54,0.0
2021-01-10,30-39,9965.0,45.0,0,45,0.0
2021-01-10,40-49,11573.0,31.0,0,31,0.0
2021-01-10,50-59,15341.0,54.0,0,54,0.0
2021-01-10,60-69,10767.0,18.0,0,18,0.0
2021-01-10,70-79,2251.0,2.0,0,2,0.0
2021-01-10,80-89,1757.0,18.0,0,18,0.0
2021-01-10,90+,1401.0,8.0,0,8,0.0
2021-01-11,12-19,86.0,1.0,0,0,1.0
2021-01-11,20-29,8406.0,44.0,0,44,0.0
2021-01-11,30-39,12223.0,64.0,0,64,0.0
2021-01-11,40-49,15787.0,67.0,0,65,2.0
2021-01-11,50-59,22242.0,83.0,0,83,0.0
2021-01-11,60-69,13210.0,46.0,0,46,0.0
2021-01-11,70-79,3100.0,10.0,0,10,0.0
2021-01-11,80-89,3839.0,26.0,0,26,0.0
2021-01-11,90+,2968.0,29.0,0,29,0.0
2021-01-12,12-19,69.0,0.0,0,0,0.0
2021-01-12,20-29,8779.0,38.0,0,38,0.0
2021-01-12,30-39,12076.0,44.0,0,44,0.0
2021-01-12,40-49,15690.0,49.0,0,49,0.0
2021-01-12,50-59,21528.0,60.0,0,60,0.0
2021-01-12,60-69,13202.0,42.0,0,42,0.0
2021-01-12,70-79,3710.0,23.0,0,23,0.0
2021-01-12,80-89,4382.0,39.0,0,39,0.0
2021-01-12,90+,3781.0,34.0,0,34,0.0
2021-01-13,12-19,149.0,0.0,0,0,0.0
2021-01-13,20-29,10302.0,53.0,0,53,0.0
2021-01-13,30-39,13830.0,71.0,0,71,0.0
2021-01-13,40-49,17695.0,74.0,0,74,0.0
2021-01-13,50-59,23845.0,97.0,0,97,0.0
2021-01-13,60-69,14034.0,43.0,0,43,0.0
2021-01-13,70-79,4201.0,28.0,0,28,0.0
2021-01-13,80-89,5821.0,75.0,0,75,0.0
2021-01-13,90+,5152.0,50.0,0,50,0.0
2021-01-14,12-19,137.0,0.0,0,0,0.0
2021-01-14,20-29,10432.0,59.0,0,59,0.0
2021-01-14,30-39,13321.0,92.0,0,92,0.0
2021-01-14,40-49,17065.0,79.0,0,79,0.0
2021-01-14,50-59,22670.0,89.0,0,89,0.0
2021-01-14,60-69,13224.0,50.0,0,50,0.0
2021-01-14,70-79,4423.0,34.0,0,34,0.0
2021-01-14,80-89,6912.0,80.0,0,80,0.0
2021-01-14,90+,5894.0,72.0,0,72,0.0
2021-01-15,12-19,102.0,0.0,0,0,0.0
2021-01-15,20-29,10199.0,38.0,0,38,0.0
2021-01-15,30-39,12732.0,59.0,0,59,0.0
2021-01-15,40-49,16391.0,59.0,0,59,0.0
2021-01-15,50-59,21719.0,83.0,0,83,0.0
2021-01-15,60-69,12513.0,42.0,0,42,0.0
2021-01-15,70-79,4266.0,14.0,0,14,0.0
2021-01-15,80-89,7342.0,44.0,0,44,0.0
2021-01-15,90+,5434.0,30.0,0,30,0.0
2021-01-16,12-19,148.0,0.0,0,0,0.0
2021-01-16,20-29,7965.0,38.0,0,38,0.0
2021-01-16,30-39,8938.0,38.0,0,38,0.0
2021-01-16,40-49,11232.0,54.0,0,54,0.0
2021-01-16,50-59,14497.0,40.0,0,40,0.0
2021-01-16,60-69,10074.0,35.0,0,35,0.0
2021-01-16,70-79,3728.0,16.0,0,16,0.0
2021-01-16,80-89,5823.0,30.0,0,30,0.0
2021-01-16,90+,3481.0,15.0,0,15,0.0
2021-01-17,12-19,88.0,0.0,0,0,0.0
2021-01-17,20-29,4814.0,278.0,0,13,0.0
2021-01-17,30-39,4299.0,585.0,0,14,0.0
2021-01-17,40-49,5494.0,590.0,0,11,0.0
2021-01-17,50-59,7101.0,901.0,0,17,0.0
2021-01-17,60-69,4916.0,658.0,0,15,0.0
2021-01-17,70-79,1906.0,28.0,0,0,0.0
2021-01-17,80-89,4135.0,18.0,0,5,0.0
2021-01-17,90+,1836.0,13.0,0,4,0.0
2021-01-18,12-19,64.0,0.0,0,0,0.0
2021-01-18,20-29,3771.0,419.0,0,14,0.0
2021-01-18,30-39,5176.0,796.0,0,22,0.0
2021-01-18,40-49,6659.0,1078.0,0,20,0.0
2021-01-18,50-59,8563.0,1515.0,0,23,0.0
2021-01-18,60-69,4963.0,1147.0,0,11,0.0
2021-01-18,70-79,2236.0,116.0,0,11,0.0
2021-01-18,80-89,4651.0,96.0,0,19,0.0
2021-01-18,90+,3389.0,82.0,0,30,0.0
2021-01-19,12-19,40.0,0.0,0,0,0.0
2021-01-19,20-29,3072.0,129.0,0,10,0.0
2021-01-19,30-39,4066.0,316.0,0,4,0.0
2021-01-19,40-49,5046.0,370.0,0,22,0.0
2021-01-19,50-59,6327.0,581.0,0,14,0.0
2021-01-19,60-69,3966.0,437.0,0,11,0.0
2021-01-19,70-79,2070.0,20.0,0,13,0.0
2021-01-19,80-89,4105.0,30.0,0,23,0.0
2021-01-19,90+,3042.0,21.0,0,18,0.0
2021-01-20,12-19,32.0,2.0,0,0,0.0
2021-01-20,20-29,2263.0,340.0,0,8,0.0
2021-01-20,30-39,3278.0,851.0,0,6,0.0
2021-01-20,40-49,4454.0,1120.0,0,8,0.0
2021-01-20,50-59,5522.0,1264.0,0,12,0.0
2021-01-20,60-69,3270.0,729.0,0,4,0.0
2021-01-20,70-79,1845.0,99.0,0,2,0.0
2021-01-20,80-89,3541.0,125.0,0,6,0.0
2021-01-20,90+,2693.0,120.0,0,9,0.0
2021-01-21,12-19,33.0,5.0,0,0,0.0
2021-01-21,20-29,1360.0,1564.0,0,2,0.0
2021-01-21,30-39,2083.0,3450.0,0,8,0.0
2021-01-21,40-49,2624.0,4512.0,0,6,0.0
2021-01-21,50-59,3185.0,5857.0,0,12,0.0
2021-01-21,60-69,2011.0,3297.0,0,4,0.0
2021-01-21,70-79,1145.0,331.0,0,2,0.0
2021-01-21,80-89,2334.0,523.0,0,6,0.0
2021-01-21,90+,1866.0,432.0,0,8,0.0
2021-01-22,12-19,35.0,3.0,0,0,0.0
2021-01-22,20-29,1231.0,1115.0,0,0,0.0
2021-01-22,30-39,1739.0,2302.0,0,7,0.0
2021-01-22,40-49,2228.0,2937.0,0,8,0.0
2021-01-22,50-59,2547.0,3939.0,0,5,0.0
2021-01-22,60-69,1538.0,2230.0,0,3,0.0
2021-01-22,70-79,870.0,370.0,0,5,0.0
2021-01-22,80-89,1716.0,674.0,0,4,0.0
2021-01-22,90+,1373.0,643.0,0,4,0.0
2021-01-23,12-19,28.0,16.0,0,0,0.0
2021-01-23,20-29,479.0,2969.0,0,0,0.0
2021-01-23,30-39,766.0,5916.0,0,1,0.0
2021-01-23,40-49,890.0,7284.0,0,3,0.0
2021-01-23,50-59,1254.0,9342.0,0,6,0.0
2021-01-23,60-69,973.0,5866.0,0,0,0.0
2021-01-23,70-79,456.0,533.0,0,1,0.0
2021-01-23,80-89,726.0,705.0,0,1,0.0
2021-01-23,90+,555.0,644.0,0,2,0.0
2021-01-24,12-19,10.0,3.0,0,0,0.0
2021-01-24,20-29,360.0,2923.0,0,1,0.0
2021-01-24,30-39,451.0,5430.0,0,0,0.0
2021-01-24,40-49,494.0,6733.0,0,3,0.0
2021-01-24,50-59,686.0,8905.0,0,4,0.0
2021-01-24,60-69,403.0,5479.0,0,1,0.0
2021-01-24,70-79,267.0,465.0,0,2,0.0
2021-01-24,80-89,415.0,444.0,0,1,0.0
2021-01-24,90+,231.0,353.0,0,0,0.0
2021-01-25,12-19,2.0,11.0,0,0,0.0
2021-01-25,20-29,440.0,5766.0,0,3,0.0
2021-01-25,30-39,661.0,11455.0,0,2,0.0
2021-01-25,40-49,786.0,13988.0,0,2,0.0
2021-01-25,50-59,915.0,18895.0,0,4,0.0
2021-01-25,60-69,574.0,11140.0,0,2,0.0
2021-01-25,70-79,372.0,997.0,0,0,0.0
2021-01-25,80-89,719.0,1240.0,0,3,0.0
2021-01-25,90+,577.0,1137.0,0,5,0.0
2021-01-26,12-19,10.0,13.0,0,0,0.0
2021-01-26,20-29,354.0,6342.0,0,0,0.0
2021-01-26,30-39,539.0,13257.0,0,2,0.0
2021-01-26,40-49,698.0,16039.0,0,5,0.0
2021-01-26,50-59,752.0,22244.0,0,2,0.0
2021-01-26,60-69,578.0,13747.0,0,1,0.0
2021-01-26,70-79,361.0,1424.0,0,0,0.0
2021-01-26,80-89,707.0,1707.0,0,0,0.0
2021-01-26,90+,493.0,1628.0,0,3,0.0
2021-01-27,12-19,17.0,40.0,0,0,0.0
2021-01-27,20-29,785.0,6653.0,0,0,0.0
2021-01-27,30-39,859.0,11157.0,0,3,0.0
2021-01-27,40-49,970.0,12909.0,0,2,0.0
2021-01-27,50-59,1255.0,17846.0,0,6,0.0
2021-01-27,60-69,783.0,11860.0,0,3,0.0
2021-01-27,70-79,423.0,1530.0,0,1,0.0
2021-01-27,80-89,779.0,1458.0,0,2,0.0
2021-01-27,90+,637.0,1317.0,0,3,0.0
2021-01-28,12-19,7.0,36.0,0,0,0.0
2021-01-28,20-29,468.0,7511.0,0,3,0.0
2021-01-28,30-39,605.0,14776.0,0,2,0.0
2021-01-28,40-49,826.0,18560.0,0,4,0.0
2021-01-28,50-59,1043.0,26063.0,0,2,0.0
2021-01-28,60-69,639.0,15333.0,0,2,0.0
2021-01-28,70-79,326.0,2094.0,0,0,0.0
2021-01-28,80-89,678.0,2491.0,0,7,0.0
2021-01-28,90+,519.0,2290.0,0,17,0.0
2021-01-29,12-19,16.0,46.0,0,0,0.0
2021-01-29,20-29,510.0,9032.0,0,3,0.0
2021-01-29,30-39,684.0,15167.0,0,1,0.0
2021-01-29,40-49,902.0,19407.0,0,6,0.0
2021-01-29,50-59,1047.0,26633.0,0,2,0.0
2021-01-29,60-69,618.0,16040.0,0,2,0.0
2021-01-29,70-79,320.0,2487.0,0,1,0.0
2021-01-29,80-89,689.0,2784.0,0,8,0.0
2021-01-29,90+,484.0,2336.0,0,2,0.0
2021-01-30,12-19,42.0,61.0,0,0,0.0
2021-01-30,20-29,436.0,8757.0,0,12,0.0
2021-01-30,30-39,540.0,13733.0,0,9,0.0
2021-01-30,40-49,684.0,16709.0,0,7,0.0
2021-01-30,50-59,970.0,22787.0,0,3,0.0
2021-01-30,60-69,713.0,17096.0,0,2,0.0
2021-01-30,70-79,233.0,2873.0,0,1,0.0
2021-01-30,80-89,462.0,2469.0,0,6,0.0
2021-01-30,90+,271.0,1972.0,0,2,0.0
2021-01-31,12-19,22.0,131.0,0,0,0.0
2021-01-31,20-29,276.0,6962.0,0,2,0.0
2021-01-31,30-39,381.0,9600.0,0,2,0.0
2021-01-31,40-49,508.0,11216.0,0,1,0.0
2021-01-31,50-59,749.0,14781.0,0,2,0.0
2021-01-31,60-69,336.0,10348.0,0,1,0.0
2021-01-31,70-79,104.0,2014.0,0,0,0.0
2021-01-31,80-89,245.0,1272.0,0,1,0.0
2021-01-31,90+,119.0,950.0,0,0,0.0
2021-02-01,12-19,4.0,95.0,0,0,0.0
2021-02-01,20-29,440.0,8730.0,0,4,0.0
2021-02-01,30-39,605.0,12434.0,0,1,0.0
2021-02-01,40-49,757.0,15810.0,0,1,0.0
2021-02-01,50-59,1005.0,22063.0,0,2,0.0
2021-02-01,60-69,647.0,13098.0,0,1,0.0
2021-02-01,70-79,315.0,2985.0,0,0,0.0
2021-02-01,80-89,416.0,3656.0,0,4,0.0
2021-02-01,90+,316.0,2899.0,0,3,0.0
2021-02-02,12-19,16.0,65.0,0,0,0.0
2021-02-02,20-29,774.0,8649.0,0,3,0.0
2021-02-02,30-39,908.0,11897.0,0,3,0.0
2021-02-02,40-49,1138.0,15432.0,0,4,0.0
2021-02-02,50-59,1290.0,21509.0,0,11,1.0
2021-02-02,60-69,788.0,13033.0,0,3,0.0
2021-02-02,70-79,339.0,3659.0,0,0,0.0
2021-02-02,80-89,770.0,4204.0,0,8,0.0
2021-02-02,90+,541.0,3621.0,0,7,0.0
2021-02-03,12-19,20.0,124.0,0,1,0.0
2021-02-03,20-29,981.0,10188.0,0,2,0.0
2021-02-03,30-39,1256.0,13411.0,0,7,0.0
2021-02-03,40-49,1612.0,17164.0,0,6,0.0
2021-02-03,50-59,1864.0,22899.0,0,11,0.0
2021-02-03,60-69,1089.0,13662.0,0,4,0.0
2021-02-03,70-79,552.0,3893.0,0,4,0.0
2021-02-03,80-89,1110.0,5119.0,0,6,0.0
2021-02-03,90+,672.0,4593.0,0,7,0.0
2021-02-04,12-19,23.0,142.0,0,0,0.0
2021-02-04,20-29,1531.0,10537.0,0,16,1.0
2021-02-04,30-39,2001.0,13586.0,0,13,3.0
2021-02-04,40-49,2366.0,17681.0,0,4,1.0
2021-02-04,50-59,2819.0,23486.0,0,12,0.0
2021-02-04,60-69,1852.0,13687.0,0,6,0.0
2021-02-04,70-79,724.0,4432.0,0,2,0.0
2021-02-04,80-89,1421.0,6453.0,0,5,0.0
2021-02-04,90+,985.0,5335.0,0,1,0.0
2021-02-05,12-19,35.0,102.0,0,0,0.0
2021-02-05,20-29,2095.0,10333.0,0,14,0.0
2021-02-05,30-39,2686.0,13094.0,0,32,0.0
2021-02-05,40-49,3212.0,16467.0,0,13,0.0
2021-02-05,50-59,3712.0,21842.0,0,23,0.0
2021-02-05,60-69,2382.0,12581.0,0,13,0.0
2021-02-05,70-79,986.0,4128.0,0,6,0.0
2021-02-05,80-89,1686.0,6868.0,0,11,0.0
2021-02-05,90+,1248.0,4812.0,0,10,0.0
2021-02-06,12-19,50.0,145.0,0,1,0.0
2021-02-06,20-29,1975.0,7621.0,0,9,0.0
2021-02-06,30-39,2247.0,8685.0,0,26,1.0
2021-02-06,40-49,2529.0,10903.0,0,15,0.0
2021-02-06,50-59,2962.0,14190.0,0,11,0.0
2021-02-06,60-69,2192.0,9876.0,0,16,0.0
2021-02-06,70-79,886.0,3442.0,0,7,0.0
2021-02-06,80-89,1170.0,5427.0,0,8,0.0
2021-02-06,90+,684.0,3146.0,0,3,0.0
2021-02-07,12-19,32.0,86.0,0,0,0.0
2021-02-07,20-29,1506.0,4441.0,0,13,0.0
2021-02-07,30-39,1357.0,4335.0,0,14,0.0
2021-02-07,40-49,1678.0,5525.0,0,12,0.0
2021-02-07,50-59,2000.0,7018.0,0,14,0.0
2021-02-07,60-69,1413.0,4858.0,0,6,0.0
2021-02-07,70-79,544.0,1702.0,0,0,0.0
2021-02-07,80-89,770.0,3590.0,0,7,0.0
2021-02-07,90+,215.0,1380.0,0,2,0.0
2021-02-08,12-19,31.0,58.0,0,0,0.0
2021-02-08,20-29,2910.0,4166.0,0,25,2.0
2021-02-08,30-39,3213.0,5482.0,0,19,0.0
2021-02-08,40-49,3842.0,7019.0,0,30,0.0
2021-02-08,50-59,4991.0,9200.0,0,37,0.0
2021-02-08,60-69,3207.0,5536.0,0,19,0.0
2021-02-08,70-79,1133.0,2259.0,0,8,0.0
2021-02-08,80-89,5862.0,3681.0,0,22,0.0
2021-02-08,90+,1677.0,3015.0,0,10,0.0
2021-02-09,12-19,44.0,39.0,0,0,0.0
2021-02-09,20-29,3822.0,3298.0,0,40,0.0
2021-02-09,30-39,4203.0,4375.0,0,51,0.0
2021-02-09,40-49,5138.0,5419.0,0,36,0.0
2021-02-09,50-59,6431.0,6859.0,0,49,0.0
2021-02-09,60-69,4188.0,4144.0,0,20,0.0
2021-02-09,70-79,1639.0,1999.0,0,7,0.0
2021-02-09,80-89,6707.0,3757.0,0,12,0.0
2021-02-09,90+,2231.0,3012.0,0,8,0.0
2021-02-10,12-19,77.0,34.0,0,1,0.0
2021-02-10,20-29,5875.0,2515.0,0,40,0.0
2021-02-10,30-39,5821.0,3512.0,0,65,0.0
2021-02-10,40-49,6568.0,4659.0,0,49,0.0
2021-02-10,50-59,8104.0,5921.0,0,61,0.0
2021-02-10,60-69,5703.0,3310.0,0,25,0.0
2021-02-10,70-79,2548.0,1699.0,0,3,0.0
2021-02-10,80-89,7735.0,4061.0,0,25,0.0
2021-02-10,90+,2476.0,2759.0,0,18,0.0
2021-02-11,12-19,80.0,24.0,0,1,0.0
2021-02-11,20-29,7044.0,1632.0,0,118,0.0
2021-02-11,30-39,7445.0,2438.0,0,100,0.0
2021-02-11,40-49,8796.0,3229.0,0,92,0.0
2021-02-11,50-59,10194.0,4001.0,0,101,0.0
2021-02-11,60-69,6395.0,2295.0,0,43,0.0
2021-02-11,70-79,2718.0,1264.0,0,13,0.0
2021-02-11,80-89,9168.0,3120.0,0,36,0.0
2021-02-11,90+,3074.0,2436.0,0,28,0.0
2021-02-12,12-19,95.0,19.0,0,1,0.0
2021-02-12,20-29,7566.0,1411.0,0,168,0.0
2021-02-12,30-39,8590.0,1983.0,0,123,0.0
2021-02-12,40-49,10286.0,2630.0,0,126,0.0
2021-02-12,50-59,10412.0,3177.0,0,130,0.0
2021-02-12,60-69,6384.0,1752.0,0,70,0.0
2021-02-12,70-79,2753.0,1072.0,0,18,0.0
2021-02-12,80-89,9581.0,2269.0,0,72,0.0
2021-02-12,90+,2686.0,1966.0,0,55,0.0
2021-02-13,12-19,100.0,29.0,0,0,0.0
2021-02-13,20-29,5209.0,556.0,0,113,0.0
2021-02-13,30-39,6838.0,912.0,0,114,0.0
2021-02-13,40-49,8000.0,1169.0,0,110,0.0
2021-02-13,50-59,7902.0,1555.0,0,95,0.0
2021-02-13,60-69,4976.0,1184.0,0,38,0.0
2021-02-13,70-79,2207.0,466.0,0,16,0.0
2021-02-13,80-89,8353.0,767.0,0,33,0.0
2021-02-13,90+,2046.0,680.0,0,17,0.0
2021-02-14,12-19,40.0,9.0,0,0,0.0
2021-02-14,20-29,2650.0,329.0,0,31,0.0
2021-02-14,30-39,4426.0,376.0,0,65,0.0
2021-02-14,40-49,5091.0,417.0,0,48,0.0
2021-02-14,50-59,4268.0,662.0,0,48,0.0
2021-02-14,60-69,2504.0,366.0,0,16,0.0
2021-02-14,70-79,1150.0,262.0,0,8,0.0
2021-02-14,80-89,6034.0,276.0,0,26,0.0
2021-02-14,90+,1010.0,167.0,0,14,0.0
2021-02-15,12-19,90.0,14.0,0,1,0.0
2021-02-15,20-29,5683.0,706.0,0,122,0.0
2021-02-15,30-39,6999.0,908.0,0,129,0.0
2021-02-15,40-49,8483.0,1117.0,0,182,0.0
2021-02-15,50-59,8832.0,1397.0,0,172,0.0
2021-02-15,60-69,4931.0,831.0,0,61,0.0
2021-02-15,70-79,2473.0,501.0,0,27,0.0
2021-02-15,80-89,16006.0,777.0,0,81,0.0
2021-02-15,90+,2692.0,609.0,0,30,0.0
2021-02-16,12-19,60.0,15.0,0,1,0.0
2021-02-16,20-29,4990.0,596.0,0,91,0.0
2021-02-16,30-39,7422.0,960.0,0,161,0.0
2021-02-16,40-49,9958.0,1188.0,0,190,0.0
2021-02-16,50-59,9223.0,1356.0,0,166,0.0
2021-02-16,60-69,4973.0,895.0,0,58,0.0
2021-02-16,70-79,2184.0,526.0,0,20,0.0
2021-02-16,80-89,21439.0,840.0,0,104,0.0
2021-02-16,90+,4248.0,651.0,0,27,0.0
2021-02-17,12-19,56.0,18.0,0,0,0.0
2021-02-17,20-29,5608.0,1016.0,0,122,0.0
2021-02-17,30-39,7901.0,1358.0,0,158,0.0
2021-02-17,40-49,10091.0,1705.0,0,221,0.0
2021-02-17,50-59,9966.0,2154.0,0,177,0.0
2021-02-17,60-69,4594.0,1461.0,0,59,0.0
2021-02-17,70-79,2325.0,764.0,0,26,0.0
2021-02-17,80-89,24282.0,1142.0,0,131,0.0
2021-02-17,90+,5428.0,932.0,0,49,0.0
2021-02-18,12-19,75.0,15.0,0,0,0.0
2021-02-18,20-29,7051.0,826.0,0,148,0.0
2021-02-18,30-39,8774.0,1171.0,0,210,0.0
2021-02-18,40-49,12024.0,1558.0,0,266,0.0
2021-02-18,50-59,12059.0,1813.0,0,251,0.0
2021-02-18,60-69,5043.0,1117.0,0,78,0.0
2021-02-18,70-79,2434.0,590.0,0,15,0.0
2021-02-18,80-89,26137.0,1229.0,0,119,0.0
2021-02-18,90+,7786.0,959.0,0,47,0.0
2021-02-19,12-19,99.0,24.0,0,1,0.0
2021-02-19,20-29,7242.0,937.0,0,165,0.0
2021-02-19,30-39,8920.0,1161.0,0,255,0.0
2021-02-19,40-49,13509.0,1538.0,0,346,0.0
2021-02-19,50-59,13550.0,1687.0,0,341,0.0
2021-02-19,60-69,5063.0,898.0,0,67,0.0
2021-02-19,70-79,2293.0,482.0,0,37,0.0
2021-02-19,80-89,27435.0,962.0,0,177,0.0
2021-02-19,90+,7300.0,596.0,0,68,0.0
2021-02-20,12-19,59.0,41.0,0,0,0.0
2021-02-20,20-29,5055.0,538.0,0,140,0.0
2021-02-20,30-39,7295.0,737.0,0,224,0.0
